Parish,Total_Pop,white,black,poverty_rates,cancer_inc_rate_per_100000
    Acadia Parish,57576.00,"44,480","9,989",19.70,532.2
    Allen Parish,22750.00,"16,327","4,102",17.70,516.6
    Ascension Parish,126500.00,"81,141","30,521",7.90,499.6
    Assumption Parish,21039.00,"13,722","6,013",7.70,504.3
    Avoyelles Parish,39693.00,"25,625","10,706",22.50,495.8
    Beauregard Parish,36549.00,"29,529","4,111",11.50,520.2
    Bienville Parish,12981.00,"6,950","5,307",24.30,523.2
    Bossier Parish,128746.00,"81,052","30,099",11.20,477.2
    Caddo Parish,237848.00,"103,457","115,298",17.40,481.8
    Calcasieu Parish,216785.00,"139,772","55,263",12.90,469.9
    Caldwell Parish,9645.00,"7,646","1,534",16.20,470
    Cameron Parish,5617.00,"5,232",72,4.50,579.7
    Catahoula Parish,8906.00,"5,776","2,297",21.80,486.2
    Claiborne Parish,14170.00,"7,263","6,184",24.00,514.1
    Concordia Parish,18687.00,"10,275","7,518",27.10,431.7
    De Soto Parish,26812.00,"15,284","9,621",17.00,508.6
    East Baton Rouge Parish,456781.00,"196,069","206,681",13.30,475.3
    East Carroll Parish,7459.00,"2,054","5,188",29.90,502.8
    East Feliciana Parish,19539.00,"11,516","7,139",7.80,485.9
    Evangeline Parish,32350.00,"21,354","8,664",19.30,510.6
    Franklin Parish,19774.00,"12,492","6,554",19.00,488.9
    Grant Parish,22169.00,"17,709","3,108",12.20,479.4
    Iberia Parish,69929.00,"39,206","23,162",17.10,529.2
    Iberville Parish,30241.00,"14,833","13,377",11.60,586.4
    Jackson Parish,15031.00,"9,967","3,956",19.60,509.1
    Jefferson Parish,440781.00,"220,935","117,892",12.80,465.7
    Jefferson Davis Parish,32250.00,"25,066","5,148",15.80,486.1
    Lafayette Parish,241753.00,"153,363","61,086",12.60,483.8
    Lafourche Parish,97557.00,"71,710","14,640",13.50,464.4
    LaSalle Parish,14791.00,"11,348","1,299",11.30,495
    Lincoln Parish,48396.00,"26,034","18,729",20.00,421.8
    Livingston Parish,142282.00,"116,855","11,268",10.40,491.2
    Madison Parish,10017.00,"3,475","6,224",27.90,471.2
    Morehouse Parish,25629.00,"12,281","12,048",23.50,492.1
    Natchitoches Parish,37515.00,"19,361","14,948",15.00,520.7
    Orleans Parish,383997.00,"126,462","208,273",16.30,434.1
    Ouachita Parish,160368.00,"88,545","59,083",18.80,481.3
    Plaquemines Parish,23515.00,"14,287","4,920",10.20,468.5
    Pointe Coupee Parish,20758.00,"12,395","7,245",10.20,500.9
    Rapides Parish,130023.00,"77,510","40,484",15.00,479.6
    Red River Parish,7620.00,"4,195","2,965",14.90,475.5
    Richland Parish,20043.00,"11,785","7,336",18.60,510.7
    Sabine Parish,22155.00,"15,036","3,529",16.50,491.9
    St. Bernard Parish,43764.00,"24,497","11,507",18.50,493.9
    St. Charles Parish,52549.00,"33,550","13,133",7.50,488.5
    St. Helena Parish,10920.00,"4,527","5,861",23.50,461.4
    St. James Parish,20192.00,"9,973","9,523",7.00,533.5
    St. John the Baptist Parish,42477.00,"13,877","24,305",8.20,458.2
    St. Landry Parish,82540.00,"43,611","34,360",20.10,542.3
    St. Martin Parish,51767.00,"33,259","15,099",11.40,530.2
    St. Mary Parish,49406.00,"26,949","15,058",18.60,488.4
    St. Tammany Parish,264570.00,"196,641","34,356",9.50,498.7
    Tangipahoa Parish,133157.00,"81,336","40,039",13.70,497.5
    Tensas Parish,4147.00,"1,744","2,250",24.70,469.7
    Terrebonne Parish,109580.00,"69,934","21,253",13.20,501.7
    Union Parish,21107.00,"14,460","4,995",23.50,508.9
    Vermilion Parish,57359.00,"44,477","7,931",15.90,537
    Vernon Parish,48750.00,"35,087","6,491",14.40,485
    Washington Parish,45463.00,"29,943","12,858",20.10,517.1
    Webster Parish,36967.00,"22,735","12,185",21.20,500.5
    West Baton Rouge Parish,27199.00,"14,307","10,754",9.90,494.3
    West Carroll Parish,9751.00,"7,894","1,341",10.30,500.6
    West Feliciana Parish,15310.00,"10,883","3,618",8.30,508.9
    Winn Parish,13755.00,"8,594","3,525",13.90,473.9
