RegionName,2024-12-31
Madison Parish,58965
East Carroll Parish,65036
Claiborne Parish,76280
Morehouse Parish,84164
Winn Parish,86779
Jackson Parish,91777
Catahoula Parish,96704
Concordia Parish,97488
Bienville Parish,100077
Franklin Parish,99881
Allen Parish,101364
Caldwell Parish,103588
Evangeline Parish,113695
Avoyelles Parish,115424
Washington Parish,115573
Iberia Parish,118060
Saint Mary Parish,115629
West Carroll Parish,117168
Saint Landry Parish,120834
Red River Parish,119237
Webster Parish,121880
Jefferson Davis Parish,124937
Tensas Parish,134724
La Salle Parish,135305
Caddo Parish,134221
Acadia Parish,139047
Richland Parish,147882
Grant Parish,147476
Union Parish,149682
Vermilion Parish,146605
Rapides Parish,148403
Vernon Parish,150765
Natchitoches Parish,157523
Saint Martin Parish,157166
Saint Helena Parish,159207
Assumption Parish,160387
Iberville Parish,161446
Sabine Parish,165922
Ouachita Parish,166846
Pointe Coupee Parish,170627
Beauregard Parish,169400
De Soto Parish,164354
Terrebonne Parish,172134
Lafourche Parish,171652
Calcasieu Parish,180264
Saint James Parish,180209
Cameron Parish,193109
Saint John the Baptist Parish,192052
Saint Bernard Parish,195951
Tangipahoa Parish,201355
East Feliciana Parish,202548
Lincoln Parish,208438
Jefferson Parish,222545
East Baton Rouge Parish,223883
Orleans Parish,227886
Lafayette Parish,228694
Bossier Parish,230768
West Baton Rouge Parish,238279
Livingston Parish,239950
Saint Charles Parish,243554
Plaquemines Parish,278793
Saint Tammany Parish,280062
Ascension Parish,293839
West Feliciana Parish,352819
